ENT,REGION,EDAD_V,P5_21,P6_12,target,EDAD_V_unknown,P5_19_unknown,P5_21_unknown,P5_21_top,P6_12_no_response,P6_12_unknown,P6_12_top,target_no_response,target_unknown,target_log,P5_19A_unknown,salario_mensual,salario_mensual_unknown,ratio_gasto_ingreso,ahorro
1,2,18.0,4800.0,5000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,False,4800.0,False,0.9997917100604041,0.0
1,2,33.0,5000.0,7500.0,0.0,False,False,False,False,False,True,False,False,False,0.0,False,5000.0,False,0.9998000399920016,0.0
1,2,28.0,3000.0,100000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,6000.0,False,0.4999166805532411,3000.0
1,2,39.0,6000.0,80000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,6000.0,False,0.9998333611064822,0.0
1,2,44.0,8000.0,7500.0,0.0,False,False,False,False,True,False,False,False,False,0.0,False,6000.0,False,1.3331111481419764,-2000.0
1,2,30.0,12000.0,50000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,18000.0,False,0.6666296316871285,6000.0
1,2,21.0,2500.0,80000.0,4000.0,False,False,False,False,False,False,False,False,False,8.294299608857235,False,7200.0,False,0.3471740036106096,4700.0
1,2,46.0,9000.0,5000.0,2000.0,False,False,False,False,False,False,False,False,False,7.601402334583733,False,24000.0,False,0.37498437565101456,15000.0
1,2,36.0,2000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,12000.0,False,0.16665277893508873,10000.0
1,2,28.0,6000.0,7500.0,0.0,False,False,False,False,False,True,False,False,False,0.0,False,7420.0,False,0.8085163724565423,1420.0
1,2,44.0,13000.0,450000.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,14000.0,False,0.9285051067780873,1000.0
1,2,20.0,300.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.037731103005911204,7650.0
1,2,64.0,1500.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,3200.0,False,0.46860356138706655,1700.0
1,2,45.0,12000.0,3000.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,8000.0,False,1.4998125234345707,-4000.0
1,2,68.0,5400.0,0.0,0.0,False,False,True,False,False,False,False,False,False,0.0,True,7950.0,True,0.6791598541064017,2550.0
1,2,55.0,4000.0,200.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4000.0,False,0.9997500624843789,0.0
1,2,72.0,2400.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.30184882404728963,5550.0
1,2,45.0,10000.0,10000.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,1.2577034335303736,-2050.0
1,2,24.0,15000.0,15000.0,3000.0,False,False,False,False,False,False,False,False,False,8.006700845440367,False,8166.666666666666,False,1.8365098151246788,-6833.333333333334
1,2,89.0,6000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.7546220601182241,1950.0
1,2,75.0,4800.0,7500.0,0.0,False,False,False,False,False,True,False,False,False,0.0,True,7950.0,True,0.6036976480945793,3150.0
1,2,72.0,5400.0,0.0,0.0,False,False,True,False,False,False,False,False,False,0.0,True,7950.0,True,0.6791598541064017,2550.0
1,2,72.0,4300.0,30000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,3200.0,False,1.3433302093095907,-1100.0
1,2,70.0,5000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.6288517167651868,2950.0
1,2,85.0,6000.0,7500.0,0.0,False,False,False,False,True,False,False,False,False,0.0,True,7950.0,True,0.7546220601182241,1950.0
1,2,69.0,5000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.6288517167651868,2950.0
1,2,38.0,10000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4800.0,False,2.082899395959175,-5200.0
1,2,20.0,3000.0,6000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,0.37731103005911204,4950.0
1,2,51.0,5000.0,7500.0,100.0,False,False,False,False,False,True,False,False,False,4.61512051684126,False,200.0,False,24.875621890547265,-4800.0
1,2,24.0,0.0,80000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,True,7950.0,True,0.0,7950.0
1,2,23.0,2500.0,3000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,0.3144258583825934,5450.0
1,2,49.0,1600.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,1600.0,False,0.9993753903810119,0.0
1,2,54.0,16000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,16000.0,False,0.9999375039060059,0.0
1,2,48.0,12000.0,2000.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,6000.0,False,1.9996667222129645,-6000.0
1,2,25.0,4000.0,100000.0,4000.0,False,False,False,False,False,False,False,False,False,8.294299608857235,True,7950.0,True,0.5030813734121494,3950.0
1,2,41.0,4000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,4800.0,False,0.8331597583836701,800.0
1,2,50.0,6000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,False,6000.0,False,0.9998333611064822,0.0
1,2,63.0,2500.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.3144258583825934,5450.0
1,2,28.0,12000.0,20000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,False,16000.0,False,0.7499531279295044,4000.0
